Time differences of all IDs

data structure: (cam 1, id 1), (cam 2, id 2), (time diff)
((1, 34), (2, 28), (96))
((1, 34), (2, 30), (91))
((1, 34), (2, 31), (87))
((1, 34), (2, 32), (86))
((1, 34), (2, 33), (84))
((1, 34), (2, 39), (57))
((1, 34), (2, 44), (53))
((1, 34), (2, 45), (54))
((1, 34), (2, 48), (44))
((1, 34), (2, 49), (40))
((1, 34), (2, 50), (42))
((1, 34), (2, 52), (35))
((1, 34), (2, 53), (37))
((1, 34), (2, 6), (170))
((1, 34), (2, 8), (171))
((1, 35), (2, 1), (166))
((1, 35), (2, 11), (150))
((1, 35), (2, 19), (118))
((1, 35), (2, 2), (165))
((1, 35), (2, 20), (119))
((1, 35), (2, 24), (107))
((1, 35), (2, 26), (105))
((1, 35), (2, 28), (87))
((1, 35), (2, 30), (82))
((1, 35), (2, 31), (78))
((1, 35), (2, 32), (77))
((1, 35), (2, 33), (75))
((1, 35), (2, 39), (48))
((1, 35), (2, 44), (44))
((1, 35), (2, 45), (45))
((1, 35), (2, 48), (35))
((1, 35), (2, 49), (31))
((1, 35), (2, 50), (33))
((1, 35), (2, 52), (26))
((1, 35), (2, 53), (28))
((1, 35), (2, 6), (161))
((1, 35), (2, 8), (162))
((1, 36), (2, 1), (168))
((1, 36), (2, 11), (152))
((1, 36), (2, 19), (120))
((1, 36), (2, 2), (167))
((1, 36), (2, 20), (121))
((1, 36), (2, 24), (109))
((1, 36), (2, 26), (107))
((1, 36), (2, 28), (89))
((1, 36), (2, 30), (84))
((1, 36), (2, 31), (80))
((1, 36), (2, 32), (79))
((1, 36), (2, 33), (77))
((1, 36), (2, 39), (50))
((1, 36), (2, 44), (46))
((1, 36), (2, 45), (47))
((1, 36), (2, 48), (37))
((1, 36), (2, 49), (33))
((1, 36), (2, 50), (35))
((1, 36), (2, 52), (28))
((1, 36), (2, 53), (30))
((1, 36), (2, 6), (163))
((1, 36), (2, 8), (164))
((1, 37), (2, 1), (174))
((1, 37), (2, 11), (158))
((1, 37), (2, 19), (126))
((1, 37), (2, 2), (173))
((1, 37), (2, 20), (127))
((1, 37), (2, 24), (115))
((1, 37), (2, 26), (113))
((1, 37), (2, 28), (95))
((1, 37), (2, 30), (90))
((1, 37), (2, 31), (86))
((1, 37), (2, 32), (85))
((1, 37), (2, 33), (83))
((1, 37), (2, 39), (56))
((1, 37), (2, 44), (52))
((1, 37), (2, 45), (53))
((1, 37), (2, 48), (43))
((1, 37), (2, 49), (39))
((1, 37), (2, 50), (41))
((1, 37), (2, 52), (34))
((1, 37), (2, 53), (36))
((1, 37), (2, 6), (169))
((1, 37), (2, 8), (170))
((1, 38), (2, 1), (173))
((1, 38), (2, 11), (157))
((1, 38), (2, 19), (125))
((1, 38), (2, 2), (172))
((1, 38), (2, 20), (126))
((1, 38), (2, 24), (114))
((1, 38), (2, 26), (112))
((1, 38), (2, 28), (94))
((1, 38), (2, 30), (89))
((1, 38), (2, 31), (85))
((1, 38), (2, 32), (84))
((1, 38), (2, 33), (82))
((1, 38), (2, 39), (55))
((1, 38), (2, 44), (51))
((1, 38), (2, 45), (52))
((1, 38), (2, 48), (42))
((1, 38), (2, 49), (38))
((1, 38), (2, 50), (40))
((1, 38), (2, 52), (33))
((1, 38), (2, 53), (35))
((1, 38), (2, 6), (168))
((1, 38), (2, 8), (169))
((1, 39), (2, 1), (174))
((1, 39), (2, 11), (158))
((1, 39), (2, 19), (126))
((1, 39), (2, 2), (173))
((1, 39), (2, 20), (127))
((1, 39), (2, 24), (115))
((1, 39), (2, 26), (113))
((1, 39), (2, 28), (95))
((1, 39), (2, 30), (90))
((1, 39), (2, 31), (86))
((1, 39), (2, 32), (85))
((1, 39), (2, 33), (83))
((1, 39), (2, 39), (56))
((1, 39), (2, 44), (52))
((1, 39), (2, 45), (53))
((1, 39), (2, 48), (43))
((1, 39), (2, 49), (39))
((1, 39), (2, 50), (41))
((1, 39), (2, 52), (34))
((1, 39), (2, 53), (36))
((1, 39), (2, 6), (169))
((1, 39), (2, 8), (170))
((1, 4), (2, 1), (31))
((1, 4), (2, 11), (15))
((1, 4), (2, 19), (17))
((1, 4), (2, 2), (30))
((1, 4), (2, 20), (16))
((1, 4), (2, 24), (28))
((1, 4), (2, 26), (30))
((1, 4), (2, 28), (48))
((1, 4), (2, 30), (53))
((1, 4), (2, 31), (57))
((1, 4), (2, 32), (58))
((1, 4), (2, 33), (60))
((1, 4), (2, 39), (87))
((1, 4), (2, 44), (91))
((1, 4), (2, 45), (90))
((1, 4), (2, 48), (100))
((1, 4), (2, 49), (104))
((1, 4), (2, 50), (102))
((1, 4), (2, 52), (109))
((1, 4), (2, 53), (107))
((1, 4), (2, 6), (26))
((1, 4), (2, 8), (27))
((1, 40), (2, 1), (177))
((1, 40), (2, 11), (161))
((1, 40), (2, 19), (129))
((1, 40), (2, 2), (176))
((1, 40), (2, 20), (130))
((1, 40), (2, 24), (118))
((1, 40), (2, 26), (116))
